Sentence,Duplicate
"""If my post doesn't get likes on social media, then nobody likes me.""
",Original
"""I didn't play the piano piece perfectly, so all my practice was for nothing.""
",Original
"""If my children don't excel at everything, then I've failed as a parent.""
",Original
"""I didn't get every ingredient for the recipe, so I can't cook anything at all.""
",Original
"""If I'm not the fastest runner in my group, then I'm hopelessly slow.""
",Original
"""My painting isn't displayed in the gallery, so I must not have any talent.""
",Original
"""If I don't understand this chapter on the first read, then I'm not cut out for this subject.""
",Original
"""I was late to one meeting, so my reputation at work must be ruined.""
",Original
"""If my garden isn't as big as my neighbor's, then it's a pathetic garden.""
",Original
"""I didn't get the lead role in the play, so I have no acting ability whatsoever.""
",Original
"""If I can't get my novel written in a few months, then I'm not a real writer.""
",Original
"""My homemade bread didn't turn out like the bakery's, so I'm hopeless in the kitchen.""
",Original
"""I was not chosen as employee of the month, so my work must not be valued at all.""
",Original
"""If I don't get this math concept right away, then I'm just not good at math.""
",Original
"""Since my video didn't get any comments, it must be completely uninteresting.""
",Original
"""If I can't keep my house perfectly organized, then I'm living in total chaos.""
",Original
"""My painting didn't sell immediately, so it must be unappealing to everyone.""
",Original
"""Since I don't have a lot of followers on social media, my content must be terrible.""
",Original
"""If my child isn't reading by age four, then they're behind and I've failed as a parent.""
",Original
"""Since I didn't finish reading this book in one week, I must be a slow reader.""
",Original
"""If my suggestion isn't adopted at the meeting, then nobody values my input.""
",Original
"My business proposal was rejected once; it must be a bad idea altogether.
",Original
"""Since no one complimented me today, they must all think poorly of me.""
",Original
"""If I canâ€™t fix this issue on my own, then Iâ€™m completely helpless.""
",Original
"My app didnâ€™t get downloaded much; itâ€™s definitely a flop and not worth improving.
",Original
"""Since the teacher corrected me in class, she must think I'm not smart enough.""
",Original
"""If this relationship doesnâ€™t work out, then no relationship will ever work for me.""
",Original
"My science experiment failed once; science just isnâ€™t for me.
",Original
"""I didn't get up early today, so my whole day is ruined.""
",Original
"""If I can't get this job, then I'm destined to be unemployed forever.""
",Original
"""My team only scored second place, so we might as well have lost the entire competition.""
",Original
"""Since I can't afford a vacation this year, my life is just boring and pathetic.""
",Original
"""I got one negative review on my work, so everyone must think it's terrible.""
",Original
"""If I'm not the best in my class, then I'm obviously the worst.""
",Original
"""My homemade cookies didn't turn out like the picture, so I'm a failure at baking.""
",Original
"""Since my idea was criticized, it must be completely worthless and not worth pursuing further.""
",Original
"""If I don't get recognized for my volunteer work, then it must not make any difference at all.""
",Original
"""Since I can't lose weight as fast as others, I'll never be in shape.""
",Original
"My presentation didn't captivate everyone's attention; they must have found it utterly uninteresting.
",Original
"""If my child isn't excelling in school like their peers, then I must be failing as a parent.""
",Original
"""Since no one noticed my new haircut, they probably think I look worse than before.""
",Original
"""If this date doesn't go perfectly, then I'm doomed to be single forever.""
",Original
"""My poem wasn't chosen for the publication; clearly, I have no talent in writing.""
",Original
"""Since the house isn't decorated like a magazine cover, it must look awful to everyone else.""
",Original
"""If my pet doesn't learn this trick right away, then it's untrainable and will never learn anything.""
",Original
"My business didn't double its profits this year; it's definitely going to fail soon.
",Original
"""Since nobody laughed at my presentation jokes, they probably think I'm not funny at all.""
",Original
"""If this plant dies under my care, then I shouldnâ€™t bother gardening ever again.""
",Original
"""If my friends don't invite me to every outing, they must not like me at all.""
",Original
"""Since I didn't hit my sales target this month, I'm a complete failure at my job.""
",Original
"""My story wasn't accepted by the first publisher, so it's probably terrible and no one will ever want to read it.""
",Original
"""If I can't get this recipe right on the first attempt, then I'm useless in the kitchen.""
",Original
"""Since I didn't get an immediate response to my proposal, it must have been a terrible idea.""
",Original
"""If I'm not the most skilled player on the team, then I shouldn't be playing at all.""
",Original
"""My art piece didn't win first prize; therefore, I must not be a good artist.""
",Original
"""Since my suggestion was not implemented, it means that my contributions are worthless.""
",Original
"""If I canâ€™t do yoga poses as well as everyone else in class, then thereâ€™s no point in me doing yoga at all.""
",Original
"My child didnâ€™t score the highest marks in class; I must be failing as a parent.
",Original
"""Since my blog doesnâ€™t have many subscribers, it means that what I write is uninteresting and irrelevant.""
",Original
"""If this relationship has any issues, then it's completely broken and should end.""
",Original
"""Since I canâ€™t stick to my New Yearâ€™s resolutions perfectly, theyâ€™re pointless and I should just give up now.""
",Original
"""If my car isnâ€™t the latest model, then it's an embarrassing old wreck.""
",Original
"""I didn't get the exact job I wanted, so my entire education was a waste.""
",Original
"""If I'm not the most knowledgeable person in the room, then I know nothing at all.""
",Original
"My project received some constructive criticism; it must be completely flawed.
",Original
"""Since I can't swim as fast as the others, I'm a terrible swimmer and should just quit.""
",Original
"""If my child isn't the star player on their team, then they have no athletic ability.""
",Original
"""I forgot one item on my grocery list, so now the whole shopping trip is a disaster.""
",Original
"""Since I can't play this song perfectly on guitar, I'll never be a musician.""
",Original
"My short story wasn't accepted by the first magazine I sent it to; my writing must be awful.
",Original
"""If my presentation doesn't capture everyone's attention from start to finish, then it's a total failure.""
",Original
"""Since I don't have a big social circle, I must be completely unlikable.""
",Original
"My garden has a few weeds; it looks like a jungle and is beyond saving.
",Original
"""If I don't get this art technique right away, then I have no artistic ability whatsoever.""
",Original
"""Since my idea didn't win the competition, it must have been the worst one submitted.""
",Original
"""If I'm not overjoyed with every aspect of my life, then my life is completely miserable.""
",Original
"My homemade soup doesn't taste like restaurant quality; I'm an awful cook and should never cook again.
",Original
"""Since my homemade jam didn't turn out like my grandmother's, I must be terrible in the kitchen.""
",Original
"""If this date isn't perfect, then we're clearly not meant to be together and should break up immediately.""
",Original
"My novel has been rejected by multiple publishers; it must mean that I'm not meant to be an author.
",Original
"""Since my team lost the match today, our entire season has been a waste and we're all failures.""
",Original
"""If my speech doesnâ€™t change everyoneâ€™s mind, then it wasnâ€™t impactful at all and I failed as a speaker.""
",Original
"I can't believe I forgot their name; they must think I don't care about them at all.
",Original
"""Since I'm not the fastest typer in the office, I must be the least skilled worker here.""
",Original
"""Since I can't paint like a professional artist right away, I have no talent and should stop trying.""
",Original
"""My garden isn't thriving like my neighbor's, so I clearly have no green thumb at all.""
",Original
"""If my YouTube video doesn't get any views, then I'm not interesting and should stop making videos.""
",Original
"""Since my child didn't get into the gifted program, they must not be smart.""
",Original
"""If I don't read as many books as my friend does, then I'm not well-read or intelligent.""
",Original
"""My DIY project doesn't look like the tutorial, so I'm completely unskilled at crafting.""
",Original
"""Since we had to ask for directions, we're terrible travelers and should just stay home next time.""
",Original
"""If my comment doesn't get any likes on social media, it must be because my thoughts are irrelevant.""
",Original
"My team only came in third place; it's as if we didn't compete at all and all our training was pointless.
",Original
"""Since my photo didn't win the contest, it shows that I have no eye for photography and shouldnâ€™t bother taking pictures anymore.""
",Original
"I can't believe I forgot to buy milk; this means I'm completely irresponsible.
",Original
"""My son got a B on his report card, so he must not be trying at all.""
",Original
"""I wasn't the first to finish the marathon, so all my training was useless.""
",Original
"""Nobody asked me to dance, which means I'm totally unattractive.""
",Original
"""I only know a few phrases in Spanish, so there's no way I could ever learn the language.""
",Original
"""Since my presentation didn't get any questions, it must have been uninteresting to everyone.""
",Original
"""If my colleagues don't praise my work constantly, then they must think it's subpar.""
",Original
"""Since I haven't mastered this skill yet, I might as well not even practice it.""
",Original
"""If my garden doesn't look as good as those on TV, then I shouldn't even bother gardening.""
",Original
"""If I canâ€™t get this stain out of my shirt, then the whole shirt is ruined and unwearable.""
",Original
"""I didn't master the guitar chord immediately, so I have no musical talent whatsoever.""
",Original
"""Since my home-cooked meal wasn't as delicious as a restaurant dish, I'm a terrible cook.""
",Original
"""My business didn't attract hundreds of customers on its first day, so it's definitely going to be a failure.""
",Original
"""If I can't get into my preferred college, my education is over and my future is bleak.""
",Original
"""Nobody laughed at my anecdote during the meeting, so I must not be interesting at all.""
",Original
"""Because I was nervous during the job interview, I've surely blown my chances at any job.""
",Original
"""Since the cake I baked isn't perfectly moist, it's completely inedible and a total disaster.""
",Original
"""If I can't play this video game well on the first try, then I'm just not good at any games.""
",Original
"My art didn't get chosen for the community exhibit; this means that I have no creativity.
",Original
"""Because one person unfollowed me on social media, everyone must find me boring and unlikable.""
",Original
"""Since I can't lift as heavy weights as others in the gym, there's no point in me exercising.""
",Original
"My short story wasn't acknowledged by a literary magazine; it means I have no writing skills at all.
",Original
"""Because my opinion was different from the groupâ€™s consensus, they must all think Iâ€™m foolish.""
",Original
"""If my work doesnâ€™t earn immediate praise from my boss, then everything I do must be wrong.""
",Original
"""Since our team lost once, we're definitely going to lose every game hereafter.""
",Original
"I can't believe I overslept; my whole routine is off and the day is ruined.
",Original
"""If this homemade dress isn't as good as a store-bought one, then I'm not cut out for sewing.""
",Original
"""Since I didn't get an 'A' on the essay, I must not be good at writing at all.""
",Original
"""My team didn't win the first place in the hackathon, so all our coding skills must be inadequate.""
",Original
"""If I'm not able to learn this language quickly, then I have no aptitude for languages.""
",Original
"""Because my idea wasn't praised by everyone, it must be completely worthless.""
",Original
"""Since I can't do these yoga poses like the instructor, there's no point in me going to yoga class.""
",Original
"My friends went out without me once; they probably don't enjoy my company at all.
",Original
"""If I'm not advancing in my career as fast as my peers, then I must be a failure professionally.""
",Original
"""Because I got one negative comment on my article, it means that my entire piece is bad.""
",Original
"""If my pet doesn't obey every command right away, then it's not well-trained at all.""
",Original
"""Since I didn't score the winning goal in the soccer game, I'm sure everyone thinks I let the team down.""
",Original
"""If every person at the party isn't interested in talking to me, then I must be totally uninteresting.""
",Original
"""My home doesn't look like those in interior design magazines; therefore, it must be ugly and poorly decorated.""
",Original
"""Because one of my students struggled with the lesson today, I must not be an effective teacher at all.""
",Original
"""I didn't get applauded after my performance, so everyone must have hated it.""
",Original
"""I forgot one question in the interview, so there's no chance they'll hire me.""
",Original
"My first YouTube video only got a few views; I'm never going to be successful at this.
",Original
"""If I'm not the best player on my team, then I'm the worst.""
",Original
"No one noticed the new plant in my house; my interior decorating must be awful.
",Original
"""Since I didn't get the answer right away, I must be really bad at trivia games.""
",Original
"""My first attempt at painting wasn't a masterpiece, so I have no artistic talent at all.""
",Original
"""Because my team didn't win the tournament, our whole season was pointless.""
",Original
"""If my story doesn't get published, then I shouldn't write ever again.""
",Original
"""Since that person didn't laugh at my story, they probably think I'm boring.""
",Original
"""If I don't get this job offer, then all my education and experience count for nothing.""
",Original
"""My home-cooked meal wasn't as good as a professional chef's, so I'm a failure in the kitchen.""
",Original
"""Because my comment was overlooked in the meeting, it must mean that all of my ideas are bad.""
",Original
"""If I donâ€™t lose weight after a week of dieting and exercise, then itâ€™s just not worth trying anymore.""
",Original
"""Since nobody complimented me on my new haircut today, it must look horrible.""
",Original
"""If this plant doesnâ€™t thrive immediately under my care, then Iâ€™m terrible at gardening.""
",Original
"""Because we lost the game by one point, we might as well have not played at all.""
",Original
"My child isnâ€™t reading as quickly as their peers; they'll never catch up now.
",Original
"""Since none of my colleagues joined me for lunch today, they probably donâ€™t like me.""
",Original
"""If this post doesnâ€™t get any engagement online, then nobody cares about what I have to say.""
",Original
"""Because one person disagreed with me in discussion, everyone must think my argument is invalid.""
",Original
"My friend canceled plans with me once; they probably donâ€™t enjoy spending time with me anymore.
",Original
"""If this recipe doesnâ€™t turn out perfectly on the first try, then thereâ€™s no point in ever cooking again.""
",Original
"Nobody asked me for help with their project; they must think Iâ€™m incompetent.
",Original
"""Because my car isn't brand new or expensive, people probably think less of me.""
",Original
"My business isnâ€™t an overnight success; itâ€™s sure to be a failure.
",Original
"""Since that person didnâ€™t smile back at me when I greeted them, they clearly dislike me.""
",Original
"""If this essay doesnâ€™t receive top marks from the professor, then itâ€™s completely worthless and so is all of my effort.""
",Original
"No one retweeted or liked my tweet; what I said must have been unimportant or foolish.
",Original
"After making a small mistake during my performance everyone must now doubt my abilities as a musician.
",Original
"Because our group project didnâ€™t win first place our entire concept and work was flawed and useless.
",Original
"The audience wasn't laughing constantly during our comedy sketch; we completely failed to entertain them.
",Original
"After tripping over once during dance practice everyone must think that i am clumsy and lacking grace .
",Original
"""When i cooked dinner for friends last night nobody asked for seconds ,they probably hated it .""
",Original
"""Since some people left early from party i hosted ,it means whole event was complete disaster .""
",Original
"""I missed one question on the exam, so I don't know anything about the subject.""
",Original
"""If I can't run as fast as the others in my group, then I'm a terrible athlete.""
",Original
"""Since I didn't get praised for my work today, my boss must think I'm useless.""
",Original
"""My homemade cupcakes didn't turn out like the ones on TV, so I'm a horrible baker.""
",Original
"""Because I lost this game of chess, I must be bad at all strategy games.""
",Original
"""No one complimented me on my presentation, so it must have been awful.""
",Original
"""Since my art piece wasn't the center of attention, I must not be talented at all.""
",Original
"""If my story isn't captivating to everyone, then it's not worth telling.""
",Original
"""Because my garden isn't producing as much as last year's, it's a complete failure.""
",Original
"""If I can't do these exercises with perfect form, then there's no point in working out at all.""
",Original
"""Since nobody mentioned my new dress, it must be unattractive and a waste of money.""
",Original
"""When they didn't laugh at my comment during the meeting, they must have found it completely stupid.""
",Original
"My poem was rejected by one journal; it means that I should stop writing poetry altogether.
",Original
"""Because someone disagreed with my viewpoint in class today, everyone must think I'm ignorant.""
",Original
"""If my first attempt at knitting is not perfect, then knitting is just not for me and never will be.""
",Original
"I spilled coffee on my shirt; now the whole day is a disaster.
",Original
"""If I can't master this new software immediately, then I'm hopeless with technology.""
",Original
"""Because I was late to the meeting once, everyone must think I'm unreliable.""
",Original
"""If I can't plan this event without any hiccups, then I'm terrible at organizing anything.""
",Original
"My drawing isn't exactly like the reference image; it's totally worthless.
",Original
"""Since nobody asked me for advice, they must think I donâ€™t know anything.""
",Original
"""If my joke didnâ€™t get a laugh, then no one finds me funny and never will.""
",Original
"""Because our team only came second, we might as well have lost the entire tournament.""
","Duplicate of ""My team only scored second place, so we might as well have lost the entire competition.""
in row 82"
"No one said thank you for my work on the project; they probably didnâ€™t think it was good enough.
",Original
"I missed a few notes during my piano practice; there's no use in continuing to play.
",Original
"""My garden isn't the largest in the neighborhood, so it's completely embarrassing.""
",Original
"""Since I can't bench press as much as my gym buddy, I'm weak and shouldn't bother going to the gym.""
",Original
"I didn't get every word right in my foreign language class; I'll never be able to learn a new language.
",Original
"""If my child isn't the star of the school play, they must have no acting ability whatsoever.""
",Original
"""Because my idea wasn't adopted by the team, it means all my ideas are bad and not worth sharing.""
",Original
"""My home isn't furnished like a showroom, so it must look terrible to everyone else.""
",Original
"""Since I didn't finish this book as fast as others, I must be a slow reader.""
","Duplicate of ""Since I didn't finish reading this book in one week, I must be a slow reader.""
in row 71"
"Nobody complimented me on my new shoes; they must think my fashion sense is poor.
",Original
"""If I can't hit all high notes when singing, then I shouldn't sing at all.""
",Original
"My painting didn't get any bids at the auction; it's clear that I have no talent as an artist.
",Original
"""Because we lost one soccer match, our team is definitely the worst in the league.""
","Duplicate of ""My team lost one match, so we're the worst team in the league.""
in row 51"
"No one chose me first for their team; they must all think I'm useless at sports.
",Original
"""Since I didnâ€™t solve that puzzle quickly, Iâ€™m not smart enough for these types of games.""
",Original
"""If this batch of cookies isnâ€™t perfect, then I am a failure at baking and should stop trying altogether.""
",Original
"My blog only has a few followers; it means what I write about isnâ€™t interesting or valuable to anyone.
",Original
"""Since nobody liked my post within the first hour, it must be completely uninteresting content.""
",Original
"""If this speech doesnâ€™t get me an ovation, then my public speaking skills are worthless and ineffective.""
",Original
"Nobody complimented me on my work presentation; they probably found it unprofessional and lacking substance.
",Original
"""I didn't get the job after my first interview, so I'm clearly unemployable.""
",Original
"My boss corrected a mistake in my report; I must be the worst employee he has ever had.
",Original
"I only ran half the distance I set out to run today; I'm such a failure at keeping fit.
",Original
"""Since my cake didn't turn out as expected, I should never bake again.""
",Original
"""My son didn't win the spelling bee, so he must not be good at spelling at all.""
",Original
"""I was nervous during my presentation, so everyone must think I'm not knowledgeable.""
",Original
"""If this plant doesn't survive, then I obviously can't take care of any plants.""
",Original
"""No one complimented me on my new outfit, so it must look terrible on me.""
",Original
"""Since I lost that board game, I'm clearly bad at all games of strategy.""
","Duplicate of ""Because I lost this game of chess, I must be bad at all strategy games.""
in row 225"
"""If I can't get these dance moves right on the first try, then dancing is just not for me and never will be.""
",Original
"I missed one day of studying; I'm going to fail all my exams.
",Original
"""Since I didn't get the main role in the play, I have no acting skills whatsoever.""
","Duplicate of ""I didn't get the lead role in the play, so I have no acting ability whatsoever.""
in row 61"
"My project didn't get selected for funding; it's a sign that all my ideas are worthless.
",Original
"""I wasn't invited to that meeting, so my colleagues must think I'm irrelevant.""
",Original
"""If I can't keep this resolution, then there's no point in making any resolutions ever again.""
",Original
"""Because I got one negative customer review, my whole business is going to collapse.""
",Original
"""Since I didn't get the first question right, there's no way I passed the test.""
",Original
"No one noticed the new curtains; my efforts to improve the house are useless.
",Original
"""If I can't stop eating sugar completely, then there's no use in trying to eat healthier at all.""
",Original
"My friend didn't laugh at my joke; they must not enjoy my sense of humor anymore.
",Original
"""Since the teacher had to explain the concept to me twice, I must be the slowest learner in class.""
",Original
"Nobody complimented my work on this project; it must have been a total failure.
",Original
"""Because my team only placed second, our performance was as bad as if we were last.""
",Original
"""If this diet doesn't work immediately, then none will and I should just give up on losing weight.""
",Original
"""My poem didn't win in the local writing contest; clearly, I'm not meant to be a writer.""
",Original
"""Since we didn't reach our fundraising goal, our cause must not be important to anyone else.""
",Original
"No one signed up for my workshop; it means that what I have to offer isn't valuable or needed.
",Original
"I was five minutes late to work; my boss must think I'm completely unreliable.
",Original
"""I didn't get every note right on the guitar, so I'm a terrible musician.""
",Original
"""Since my painting didn't sell at the first art fair, I must not have any real talent.""
",Original
"""If I can't lose weight this month, then I'll never be able to lose weight at all.""
",Original
"My business idea was criticized; it must be a sign that I'm not cut out to be an entrepreneur.
",Original
"""I received a B on my paper, so I must not understand the material at all.""
",Original
"""I missed one question on the quiz, so my whole study session was a waste of time.""
",Original
"""No one laughed at my presentation joke, so they must have found the entire presentation boring.""
",Original
"""Since I can't do this complex math problem easily, I must be really bad at math.""
",Original
"""I stumbled over my words once during the speech, so everyone must think I'm a terrible public speaker.""
",Original
"My child didn't win any awards this year; I must not be doing enough as a parent.
",Original
"Nobody complimented me on my new outfit today; they probably all think it looks bad.
",Original
"""If I can't run as fast as everyone else in my running club, then there's no point in me running at all.""
",Original
"""Since one of my colleagues disagreed with me, they must all think that my ideas are stupid.""
",Original
"I didn't finish reading the chapter as quickly as I wanted to; I'm such a slow reader.
",Original
"My home isn't as modern as what I see in magazines; it's probably really outdated and unattractive to others.
",Original
"""Because my video didn't get many views, it means nobody is interested in what I have to say.""
",Original
"I couldn't finish the puzzle within an hour like everyone else; I'm just not good at puzzles.
",Original
"""Since nobody asked me for help with their project, they must believe that I am incapable and unhelpful.""
",Original
"My team lost one game this season; we're definitely not making it to the playoffs now.
",Original
"""I didn't answer all the questions in class, so I must be the least knowledgeable student.""
",Original
"""Because my friend didn't invite me to their wedding, they must not care about our friendship at all.""
",Original
"My article only got a few likes online; it's clear that I'm a terrible writer and nobody is interested in what I have to say.
",Original
"""Since I can't afford to dine out at fancy restaurants, I must be really poor compared to everyone else.""
",Original
"""I only know the basics of playing the piano, so I'll never be able to play complicated pieces or perform for others.""
",Original
"""Because I didn't get elected for the leadership position, it means that none of my peers see me as a leader.""
",Original
"""If my child isn't on the honor roll, they're definitely falling behind academically and it's my fault as a parent.""
",Original
"""Since my homemade craft doesn't look professional, I'm completely unskilled and shouldn't bother making anything again.""
",Original
"No one praised me after the meeting for my input; they probably think all of my contributions are useless.
",Original
"""If this first date isn't perfect, then we're clearly not meant to be together and should just break up now.""
","Duplicate of ""If this date isn't perfect, then we're clearly not meant to be together and should break up immediately.""
in row 130"
"My roommate didn't laugh at the video I shared; they must find all of my sense of humor annoying or childish.
",Original
"""Since I canâ€™t swim as well as others in my class, thereâ€™s no point in me trying to learn swimming anymore.""
",Original
"Nobody has complimented me on my recent weight loss; they probably think it's not noticeable or impressive enough.
",Original
"""If I donâ€™t understand everything about this topic right now, then thereâ€™s no way Iâ€™ll ever comprehend it fully.""
",Original
"""Because someone cut me off in traffic, everyone must think that driving slowly means you're a bad driver.""
",Original
"I can't believe I tripped during my dance recital; everyone must think I'm the worst dancer ever.
",Original
"""Since my painting didn't get any likes on social media, I should just give up on art.""
",Original
"""If this job interview doesn't go perfectly, I'll never find employment.""
",Original
"My science project didn't win the fair; I'm obviously terrible at science.
",Original
"No one complimented the meal I cooked; they must have all hated it.
",Original
"""Because I missed answering one question in class, the teacher probably thinks I don't study at all.""
",Original
"""Since my team only scored once in the game, we're definitely the weakest team out there.""
",Original
"""If I can't stick to my new year's resolution for a full year, then it's completely pointless to make any resolutions.""
",Original
"""My home renovation didn't turn out like the ones on TV, so my house must look awful.""
",Original
"Nobody liked my new profile picture; they must think I'm unattractive.
",Original
"""Since no one replied to my message in the group chat, they must all be ignoring me on purpose.""
",Original
"""If this business meeting isn't successful, then all my work has been for nothing.""
",Original
"My child got a C on their report card; they're not going to get into a good college now.
",Original
"""I didn't land the first job I applied for, so I'm never going to get a job.""
",Original
"""Since I can't afford to travel this year, my life is boring and uneventful.""
",Original
"""My friend didn't laugh at my story, so they must find me dull.""
",Original
"""I missed one day at the gym, so my whole fitness plan is off track.""
",Original
"""If I can't play this song on the guitar perfectly now, then I'll never be good at it.""
","Duplicate of ""Since I can't play this song perfectly on guitar, I'll never be a musician.""
in row 120"
"No one noticed the new plant in my office; my efforts to brighten up the space are pointless.
",Original
"""I only jogged for 20 minutes instead of 30, so there's no point in exercising anymore.""
",Original
"""Because I wasn't invited to that meeting, my contributions must not matter at all.""
",Original
"""If I can't write this report flawlessly on the first draft, then I'm not a good writer.""
",Original
"""Since my suggestion wasn't taken at work today, all of my ideas must be bad.""
",Original
"Nobody complimented me on my presentation; it must have been completely unimpressive.
",Original
"My child didn't score the highest grade in their class; they're struggling academically.
",Original
"I made a small mistake in front of my colleagues; now they'll all think I'm incompetent.
",Original
"""Because I didn't get an immediate 'yes' to my proposal, it was definitely a terrible idea.""
","Duplicate of ""Since I didn't get an immediate response to my proposal, it must have been a terrible idea.""
in row 104"
"""If this new hobby doesn't come easily to me right away, then it's not worth doing at all.""
",Original
"Nobody asked about my weekend; they must not care about me as a person at all.
",Original
"""Since that person didnâ€™t smile back when I said hello, they obviously dislike me.""
","Duplicate of ""Since that person didnâ€™t smile back at me when I greeted them, they clearly dislike me.""
in row 212"
"I got one negative piece of feedback; everything else I do must be wrong too.
",Original
"""If I canâ€™t get these math problems right on the first try, then Iâ€™m hopeless at math altogether.""
",Original
"""I didn't get every answer right during trivia night, so I'm clearly not knowledgeable about anything.""
",Original
"""Since I didn't finish the marathon under four hours, my entire training was a waste.""
",Original
"My project received one piece of critical feedback; it's a complete disaster and everyone hates it.
",Original
"""I couldn't do the advanced yoga pose in class today, so I'm just not cut out for yoga at all.""
",Original
"No one liked my social media post within the first hour; it must be totally uninteresting.
","Duplicate of ""Since nobody liked my post within the first hour, it must be completely uninteresting content.""
in row 261"
"""Because I lost that game of cards, I'm obviously no good at any card games.""
",Original
"""If this batch of homemade cookies isn't perfect, then my baking skills are zero.""
",Original
"""Since my garden doesn't look exactly like the one in the magazine, it's a total eyesore.""
",Original
"Nobody noticed the new tie I wore to work today; my fashion sense must be terrible.
",Original
"""Because I forgot to send that email yesterday, I'm clearly too irresponsible for this job.""
",Original
"My child didnâ€™t get selected for the advanced program; they'll never excel in school now.
",Original
"""Since one person walked out during my talk, everyone must have found it boring and pointless.""
",Original
"""If I don't ace this test without studying much, then I'm definitely not smart enough for this subject.""
",Original
"My friend didnâ€™t immediately respond to my text message; they must be mad at me or find me annoying.
",Original
"""Because we had a small argument, our relationship must be fundamentally broken and doomed to fail.""
",Original
"I can't believe I missed that one question on the test; I must not know anything about the subject.
","Duplicate of ""I missed one question on the exam, so I don't know anything about the subject.""
in row 221"
"""If I can't make everyone laugh at my jokes, then I'm not funny at all.""
","Duplicate of ""If everyone doesn't laugh at my joke, then I'm not funny at all.""
in row 48"
"""Since I didn't get a raise this year, my work is clearly not appreciated and I should quit.""
",Original
"No one responded to my post within the first ten minutes; it must be completely irrelevant.
",Original
"My son didn't score the winning goal in soccer; he's not good at sports.
",Original
"""Because my cake sank in the middle, I'm a terrible baker and shouldn't bother trying again.""
",Original
"""If I'm not able to fix everything around the house by myself, then I'm totally useless as a homeowner.""
",Original
"""Since I can't draw as well as the artist I admire, there's no point in me drawing at all.""
",Original
"""If this meal isn't praised by everyone at the table, then it's an absolute culinary failure.""
",Original
"My story wasn't shortlisted for the competition; it means my writing is hopeless and nobody will ever enjoy it.
",Original
"""Because my pet didn't win in the pet show, it's probably not cute or special to anyone else but me.""
",Original
"No one waved back when I waved at them; they must all think that I'm weird or off-putting.
",Original
"""Since my team lost our last match, we'll never win any matches in the future.""
",Original
"Nobody complimented me on my new haircut; it must look absolutely terrible.
","Duplicate of ""Since nobody complimented me on my new haircut today, it must look horrible.""
in row 200"
