sentence,Response
he's probably busy with something right now and can't answer. he'll probably call me back later. i should do something to not think about it now.,non-distorted
forming close relationships takes time and effort. don't give up and don't let setbacks or disappointments discourage you.,non-distorted
"emotions are a natural and valid part of the human experience, and i am learning to manage them in healthy ways.",non-distorted
"it really doesn't matter what other people think of me, my focus should be at excelling at my work activities, complying with the rules, anything else is non important .",non-distorted
"my friends might be out without me but that's fine, i don't like going really anyway and it doesn't mean they don't like me.",non-distorted
she seemed really pleased that i appreciated her help. i felt good for cheering her up with such a small thing.,non-distorted
"happiness is not solely dependent on having a partner, but on cultivating positive relationships with others and ourselves.",non-distorted
"this condition doesn't define me, it's just something that happened. i just need to adapt my life around it. i just need to surround myself with positive people to support me with this situation.",non-distorted
recognize and defeat catastrophic thinking.,non-distorted
"i'm proud of myself for being vulnerable and putting myself out there, even if it's not perfect.",non-distorted
"showing love and dedication doesn't require constant worry; instead, focus on being present and supportive in the moment.",non-distorted
"your life can be worthwhile, with or without a woman.  your mum expected you to be independent; don't dissapoint her.",non-distorted
i do not even know how to break the ice and thought about a 1000 stupids way to introduce myself before coming.,distorted
being a responsible adult involves more than just worrying; it's about taking action to make the world a better place and being a positive force in the lives of those around you.,non-distorted
focus on building meaningful connections with others rather than worrying about whether or not you are likable.,non-distorted
"bullying victims usually luck self confidence and that's why they are targeted by those individuals, i can think of a dozen people that i knew from my student years that were weirdand differentyet they were popular and well liked by the majority of people.",distorted
i acknowledge the challenges in the world and strive to make a positive impact where i can.,non-distorted
"birthdays can be a time of joy and celebration, regardless of family circumstances.",non-distorted
"everything seems to be overwhelming at the moment, however, when you are in a better mood, you will definitely find there to still be time for your other plans and ambitions.",non-distorted
"my boss is demanding for a reason, i might be not as productive as expected but i can start from there and get better so that there will not be any reason to be demanding.",non-distorted
"if you are confident in yourself that you are a good and likeable person, accept that the fault lies in others if they genuinely dislike you.",distorted
"it is difficult to accept that our children, to be individual, must learn their own way in the world.",non-distorted
no one really notices that your anxious as they will be too worried about their own anxiety or life problems and just paying attention to the information you give.,distorted
"ensuring the safety and security of those around you is important, but it's also important to recognize that some things are beyond your control.",non-distorted
"understanding complex topics may take time and effort, but it's not impossible.",non-distorted
"they have a great sense of style and creativity, and it's inspiring.",non-distorted
i value the importance of self-reflection in personal growth.,non-distorted
being a good caretaker involves more than just worrying; it's about being there for someone when they need you and supporting them in practical ways.,non-distorted
everyone has unique qualities that make them likable to some people and not to others. embrace your uniqueness.,non-distorted
"depression is treatable, and i am taking steps towards improving my mental health and well-being.",non-distorted
"the world is full of beauty and wonder, and there are always new experiences to be had, no matter where we are.",non-distorted
"it's clear everyone should show respect to each other. if someone is rude to you, don't do the same, show them you are a better person than them.",non-distorted
"being a good friend, partner, or parent involves more than just worrying; it's about being present, supportive, and empathetic.",non-distorted
i am taking steps to protect myself from being taken advantage of in the future.,non-distorted
"even in difficult times, we can find hope and joy by focusing on the things we are grateful for.",non-distorted
those that don't have issues of their own that they need to work through and it is very difficult for you to help them when you have your own thoughts and feelings to deal with.,distorted
you give up too easily. try to be more optimistic and have confidence in yourself. you have managed to get a job before so why has anything changed differently now.,non-distorted
"he doesn't do that deliberately, he is a good man but not perfect. maybe he just forgot to charge the phone, as i once did and caused him so much worry.",non-distorted
"anticipating potential issues is important, but excessive worry can lead to paralysis and prevent you from taking action.",non-distorted
it's possible to acknowledge potential risks without dwelling on them excessively or letting them consume your thoughts.,non-distorted
"staying informed and prepared is important, but it's also important to prioritize your mental and emotional well-being.",non-distorted
"i know i didn't do anything wrong. anyone can have bad days, maybe they are thinking about something else or preoccupied that didn't see what's happening around them.",non-distorted
"feeling in control is important, but excessive worry can lead to a sense of overwhelm and helplessness.",non-distorted
"regret is a normal emotion, but excessive worry can lead to a sense of overwhelm and prevent you from enjoying the present moment.",non-distorted
i am learning to trust my instincts and intuition.,non-distorted
i am proud of myself for the progress i have made.,non-distorted
i could meet very interesting people and some could even become friends. i dont need to put pressure on myself to find absolutely someone tonight; i can just relax and enjoy some nice socialising and music.,non-distorted
positive attracts more positive and negative attracts more negative.,distorted
it is possible for something to be less than perfect and still have worth (she still got a good tip).,non-distorted
"while it's good to be proactive, excessive worry can be counterproductive and lead to unnecessary stress.",non-distorted
taking things seriously doesn't mean you have to constantly worry; it's about being prepared and proactive without letting fear control your life.,non-distorted
"not everyone will like you, and that's okay. focus on cultivating positive relationships with those who appreciate you.",non-distorted
"not everyone will click with you, and that's okay. focus on finding people who share your interests and values and cultivating those relationships.",non-distorted
my worth is not defined by my circumstances or external factors.,non-distorted
being a responsible member of society involves more than just worrying; it's about taking action to make the world a better place.,non-distorted
it's possible that marsha's behavior has nothing to do with you. don't take it personally.,non-distorted
being likable is subjective and can depend on a variety of factors beyond your control. focus on being true to yourself and building meaningful connections.,non-distorted
"i am resilient, and i will overcome this challenge.",non-distorted
it is also an opportunity to maybe meet someone i could fancy and be in a relationship with so instead of finding excuses i should at least try to see by myself!,non-distorted
they are wishing for the best for you and just want your work to be polished and improved before submission.,non-distorted
i am proud that i got out there and made a suggestion even though it want well received.,non-distorted
"success is about progress and growth, not about being perfect all the time.",non-distorted
"it's okay to make mistakes, it's how we learn and evolve.",non-distorted
showing commitment doesn't require constant worry; it's about being present and supportive in both good times and bad.,non-distorted
"everyone has flaws and imperfections, and that doesn't make them unlikable or unworthy of love and connection.",non-distorted
"maybe rather than just worrying, i could talk it over with sylvie and decide how to handle it.",non-distorted
"you are not unlucky a lot of goods things have happened in your life,and they will again. you just need to be more positive. slow down and appreciate the little things in life.",non-distorted
"some people don't really like this kind of calls, he also may be having a bad day. i won't make a big deal of this.",non-distorted
"being prepared is important, but it's also important to trust in your ability to handle unexpected situations as they arise.",non-distorted
challenge limiting beliefs or fears that may be holding you back from forming close relationships. focus on growth and learning.,non-distorted
"i am worthy of forgiveness, both from others and myself.",non-distorted
"they have accomplished a lot in their career, and they deserve recognition for their hard work.",non-distorted
"feeling guilty for not worrying is not helpful or productive; instead, focus on taking practical steps to address any potential issues.",non-distorted
don't assume people dislike you just because one person does. keep an open mind and give others a chance.,non-distorted
"overcoming fears requires patience, persistence, and self-compassion.",non-distorted
"as for the he wouldn't have gotten in trouble, that could be true and it can also be false, there's no way for you to know that.",non-distorted
the look on judy's face was because she remembered her sister's birthday.,non-distorted
i am worthy of love and respect.,non-distorted
"it's not true that i am a failure becuase it is referred only to this situation, in other situations i am not a failure but i can much better than other people.",non-distorted
i am feeling sad but atleast  should return my friend calls or she will get worried about me.,non-distorted
i guess not everyone has the same rules about perfection that i do.,non-distorted
taking responsibility for your own life and the lives of others doesn't mean you have to worry excessively about every possible outcome.,non-distorted
don't let negative self-talk dictate your beliefs about your worthiness for love and connection. be kind to yourself.,non-distorted
i recognize the value of hard work and strive to put in my best effort.,non-distorted
"first of all, such a person requires understanding, if someone suffers from something, we should understand it and respect it to some extent.",non-distorted
your roommate asked you to clean up so he's worried about your common living space.,non-distorted
i have learned what i need from a job because of how i felt at my old one.,non-distorted
just because i feel like i look silly does not mean it is true.,non-distorted
"they paid attention to me, although the attention was not the same as it has been in the past.",distorted
"it's okay to take reasonable precautions, but it's impossible to anticipate and control every possible risk.",non-distorted
challenge your beliefs about your ability to form close relationships. it's never too late to overcome them.,non-distorted
i'm learning to let go of things i cannot control and focus on what i can.,non-distorted
there is solutions out there to help situations. its not wrong just different.,non-distorted
"my doctor told me that the heart is a muscle, using a muscle makes it stronger, and a rapid heartbeat is not necessarily dangerous.",non-distorted
"taking responsibility for your life and the lives of others doesn't require constant worry; instead, focus on taking action where you can and letting go of what you can't control.",non-distorted
sometimes talking to my therapist does help me feel better.,non-distorted
"being a good mother doesn't require constant worry; it's about being supportive, caring, and present for your child.",non-distorted
challenge societal expectations and norms about likability. focus on being true to yourself.,non-distorted
"family is what we make it, and love and connection can be found in many forms.",non-distorted
"there is no reason, why he should be angry with me. it is more probable that something at work keeps him completely busy and if he is indeed annoyed, he is annoyed by work or something connected with it.",non-distorted
"this feeling won't last forever, and i will feel better at some point.",non-distorted
"it's important to be prepared, but worrying excessively about potential harm can lead to unnecessary stress and anxiety.",non-distorted
"learning new things can be challenging, but i can improve with practice and effort.",non-distorted
"heartbreak is painful, but with time and support, we can heal and move forward.",non-distorted
"i will make some sacrifices of my free time because i love my child, but i will strive to have a balance in my life between work and relaxation.",non-distorted
"this thought record is something new that might help, but i'm doubtful.",non-distorted
"my mistakes don't define me, they're opportunities for growth and self-improvement.",non-distorted
taking things seriously doesn't mean you have to constantly worry; it's about being thoughtful and intentional in your actions.,non-distorted
i value the importance of self-care and make time for it in my routine.,non-distorted
distinguish between parasitic anxieties and fears with a time and proximity analysis.,non-distorted
its a very important day for me but not so much for him it seems.what did i even do wrong?did he find someone else or he just wants to break out with me.,distorted
"feeling like a failure for not worrying is not helpful or productive; instead, focus on taking action where you can and letting go of what you can't control.",non-distorted
seek support and guidance to work through past experiences or traumas that may be influencing your negative self-talk.,non-distorted
i live in a safe neighborhood. i appreciate that my neighbors know me and wave when they see me. i enjoy watching the children play and hearing their laughter.,non-distorted
"confronting our fears can be scary, but it can also be a powerful way to build confidence and resilience.",non-distorted
"think about what it is about you that they like. i'll guess there have been others in the past who haven't liked you at first, but some have changed their mind over time as they get to know you.",non-distorted
"it is never to later, just need to find the strength to ask for help. making this decision will be a better one. i am not worthless.",non-distorted
blaming himself for his son's mistakes will not help him solve them. we will not go back to the future anyway.,non-distorted
i'm just overeacting due to stress. at this point i must calm down and wait for the actual results.,non-distorted
"it is possible that the husband did not respond to the statement about being a co-roommate because he did not take it seriously, he probably thought that his wife only wanted to scare him. .",non-distorted
he probably doesnt like me as much as i thought or he got bored of me.how can he of all people forgot my birthday.,distorted
"when i don't worry, it doesn't make the children more vulnerable. .",non-distorted
it's okay to care deeply about those around you without feeling like you need to worry about everything all the time.,non-distorted
i appreciate the power of empathy and try to practice it in my interactions with others.,non-distorted
i acknowledge the privilege i have in certain areas of my life and strive to use it for good.,non-distorted
"that's not true, even if you don't find a job on something that fulfills you, you can always keep looking for it and keeping improving yourself those moments will only help you in the long term and when you find what you desire you will grab it because you know how hard it was to get there.",non-distorted
"again if you don't discuss this situation with her you don't know why she does that, labeling people is easy but trying to understand them and work with them is the hard yet right way to go.",non-distorted
"everyone has been late at least once or twice in their life. therefore, they will definitely sympathize with you and nobody will look down on you for being late once. .",non-distorted
employers like to employ people who have come from a job rather than long term unemployed and show some compassion to redundancies .,distorted
"my worth isn't tied to my ability to be perfect, it's about being kind, compassionate, and authentic.",non-distorted
"they have flaws, but they also have many good qualities.",non-distorted
in the normal course of things people you work with will come round to having an acceptance of you and fondness will grow from that.,non-distorted
she's probably just getting ready and is in a rush. it's hard to tell the tone of her answer in a typed response.,non-distorted
"plus, im sure your mother would rather not see you sad and depressed but instead with the strenght to move on.",non-distorted
it's better to ask and clarify what really happened and give the chance for him to explain.,non-distorted
"others may not be paying attention to it, or looking to see if nothing has happened.",distorted
my daughter asked me to take a look at some vegetables in their garden that were dying.,non-distorted
"it's okay to be imperfect, that's what makes me human.",non-distorted
"i don't need to worry all the time to be a good mother. if something bad happens, my worry doesn't protect her. .",non-distorted
"being proactive is important, but it's also important to recognize that some things are beyond your control.",non-distorted
"life can be difficult, but there are still moments of happiness to be found if we look for them.",non-distorted
"it is very bad to assume that someone is having an affair, because it is a very big accusation and can hurt another person. it is best not to say things under the influence of emotions.",non-distorted
the other person did not notice you or they may have had something on their mind and wasn't paying attention to their surroundings.,non-distorted
i think you should talk about your problems with your friends because they may not know what makes you angry or sad.,non-distorted
she stuck with me during all those years of drinking.,non-distorted
anxiety can cause a rapid heartbeat.,non-distorted
it's important to have compassion for myself when things don't go according to plan.,non-distorted
you don't need to do something you don't really want just because other people like it. there's nothing wrong with not going to nightclubs. pursue other interests that are more appealing to you. .,non-distorted
"you have said you are feeling much better than 3 years ago, what things can you do now that you couldn't face then? those 3 years have helped to build a stronger more positive you.",non-distorted
if no altercations have occurred i can assume i'm neither a better nor worse human than yesterday. maybe i can give him a ring instead during a time i know he's not too busy.,non-distorted
"if you think you've made mistakes in the past, then assuming your children are still alive, let them know and make up for them now.",non-distorted
someone will find me attractive no matter what my hairline looks like.,non-distorted
i took the car in to get the oil changed today.,non-distorted
she seemed happy to see me when i came home from work tonight.,non-distorted
"i was home if angelina needed me, and i've taught angelina how to make good choices and be safe. so it is ok for me to relax when she is gone.",non-distorted
it's possible to care deeply without letting worry and anxiety take over your life.,non-distorted
"exploring the world can be an incredible experience, but there are also many wonders to be found in our own backyards.",non-distorted
"they are skilled at what they do, and i respect their expertise.",non-distorted
i cannot complain all the time i am single if i dont even make the effort to meet people. i need to boost myself and go to the party so i wont regret it afterwards.,non-distorted
no one is gonna understand me and they will probably think im going crazy and in the worse case senario some will even try to restrain me.,distorted
he has married a person with feelings and emotions like him.  he knows your weaknesses and strengths and marries you anyway.,non-distorted
you must avoid these negative thoughts and act with your patient as you always have done.,non-distorted
she is supportive of my aa attendance and wants me to stay sober.,non-distorted
i'm learning to accept my imperfections and celebrate my uniqueness.,non-distorted
"being vigilant is important, but it's also important to balance that with self-care and taking time for yourself.",non-distorted
she did love you but her feelings changed and she neds to move on with her life. you are not forgotten and she will always cherish the times you had but you both need to adjust to this new situation.,non-distorted
"deciding you won't finish it now and giving up will set that failure in stone, so as long as you work until the end there is every possibility of finishing.",non-distorted
"i'm a psychiatrist from pennsylvania university, i took me a lot of work to get here, i will be more confident.",non-distorted
also the probability of randomly passing out is fairly low so i shoulnd't think about it as a certainty.,non-distorted
amy seemed to enjoy my stories about her mom as a teenager.,non-distorted
"while it can be challenging to trust others, building relationships and connections with people can enrich our lives in countless ways.",non-distorted
"while it can be scary to trust others, taking a chance on relationships can lead to deep connections and meaningful experiences.",non-distorted
we have the power to change our thought patterns and create a more positive and fulfilling life.,non-distorted
i value the importance of communication in building strong relationships.,non-distorted
mental health is as important as physical health and my coworkers probably understand that and may have their own struggles.,non-distorted
"sometimes there are better and worse times, don't worry, you can find another job. maybe i just had a bad day at work.",non-distorted
i know it is just an objective remark and therefore should not start a fight as this will ruin the evening.,non-distorted
i shouldn't care really that much if people like me or not. most important is to be happy with yourself.,non-distorted
"perfection isn't necessary for success, it's about consistently showing up and doing my best.",non-distorted
this got everyone talking about fun things they planned to do outdoors this weekend.,non-distorted
"learn how to unconditionally accept yourself, with or without your fears.",non-distorted
"someone else once again was promoted at work, i think my emloyer is not only looking for how long someone is working here but how good they are at that work if i just improve at my work i could get promoted too.",non-distorted
"not because they do not take into account the idea that i express, i have to get frustrated. probably this time it was not a good idea, but i will come up with an idea that all my colleagues agree on.",non-distorted
"he's a little too strict. maybe he's a workaholic. he wasn't on family dinner and i still don't know why. maybe he couldn't appear for a good reason, i should talk with him.",non-distorted
"in modern society asperger's is known about, if only on a basic level, by larger and larger numbers of people.",non-distorted
"he must have a lot on his mind at the moment, perhaps i should talk to him. .",non-distorted
having a life partner is not necessarily the meaning of a fulfilled life.,non-distorted
true love is the best thing in the whole world i already know.,non-distorted
i am capable of overcoming obstacles and challenges.,non-distorted
i need to remember that progress is more important than perfection.,non-distorted
i'm grateful for the lessons i've learned from my past experiences.,non-distorted
"there are many people that have niche interests and be into something that is not popular with the general population, however this could be an interesting topic for conversation with other people.",non-distorted
"i'm making great progress. i can do it even better the next time. i did it once - i'll do it again. ""ever tried. ever failed. no matter. try again. fail again. fail better.",non-distorted
isn't it worth staying alive for a few decades and experience what the world has to offer (good and bad) rather than checking out early and going into the black forever? .,non-distorted
by remembering those friends and people i've met throughout my life that enriched my experience i can move forward with hope of finding individuals like that again.,non-distorted
"i don't know why i'm feeling like this, it must be nervousness around  this whole situation.",non-distorted
"seeking for help is not akin to admitting defeat, it is the start to the path to victory.",non-distorted
maybe i can start small and figure out the path i'd like to take to my life.,non-distorted
it is very possible that there is no time during the weekend.,non-distorted
"although i'm really upset now, i know it won't really last forever.",non-distorted
"i survived detox, which felt a lot worse than this anger.",non-distorted
"that waitress laughed about her mistake, and the customer didn't seem to mind.",non-distorted
"with time and effort, we can change our negative thought patterns and develop more positive ways of thinking.",non-distorted
"in my experience, my dad doesn't want to talk to my mom about problems either because he is tired of how mom gets nervous during such a conversation and accuses my dad of various things without looking at his good sides.",distorted
"i should talk with him. he wants me to do something against my will. he could for example intoduce me with people around there. maybe i am a shy person, he should know me, he is my husband.",distorted
"also, while he usually calls me from work, we didnt have an appointment or anything like that, so, he didnt have to call for cancelling anything either.",non-distorted
"i'm sure i will sell more policies in the future, i've done it before and i'm good at my work. i shouldn't worry about this one.",non-distorted
he could be having a hard day and he already got 2 other cold calls during the morning that ended badly and wasted his time.,non-distorted
my husband is not calling me today from work. he must be extremely busy at work. i will text to see how he is doing.,non-distorted
not everything is so simple as you're either a man or your not for something like this.,distorted
some days i feel a little better.,non-distorted
"even though i am in a lot of pain right now, talking to somebody who cares might help me feel better, as it has in the past.",non-distorted
"success is about progress, not perfection.",non-distorted
"hating that you are feeling a certain way is the first step to feeling positive about yourself, its good that you understand how you feel now is not sustainable to happiness.",non-distorted
"my son is just a teenager and has his own problems to deal with, but i should talk with him anyways becouse he need to take care of this house as much as rest of our family.",non-distorted
taking their decision as a motivation to move forward to another great experience will be healthier than thinking they made a mistake when they chose my book.,non-distorted
"it can be true but she always chooses where to go only in this situations because for example i only choose how to go there, by car, bus or other.",distorted
i should start to be more open minded and think it will be a good night! there are free finger foods and 2/3 guys seem very nice and funny.,non-distorted
by focusing on facts we don't leave a room for negative thinking about ourselves or assuming what is going on in someone else mind.,non-distorted
"i am aware of what my goals are, and so i can slowly take steps towards becoming the kind of person who can achieve those goals.",non-distorted
"she's going to be ok. many people were in the same situation, with the help of a doctor it's gonna be ok.",non-distorted
she definitely has forgiven you everything bad that happened between you two.,non-distorted
"to not be a good wife, you have to be so horrible to your husband.",distorted
she tells me she loves me and does nice things for me when we're not fighting.,non-distorted
"last month when i got really upset, i didn't drink because i was with jim, and after an hour i felt better anyway.",non-distorted
she does care about me.,non-distorted
they have an open mind and are always willing to consider different perspectives.,non-distorted
"i will be more careful next time and will ask for his help (take care of the kids, dressing up the tables, wash the dishes) while controlling the whole diner preparation.",non-distorted
"there are no perfect humans and all of us make mistakes, and this one was mine and i should live with the pain caused by my actions.",distorted
"you should talk to her before you jump to conclusions. but you've done nothing wrong, so don't beat yourself up.",non-distorted
"but this is very big, i have even an editor and he seems really happy with my work.",non-distorted
i was able to tell her that they weren't getting enough water.,non-distorted
a rapid heartbeat doesn't mean that i am having a heart attack.,non-distorted
"my self-worth isn't tied to my ability to be perfect, it's about who i am as a person.",non-distorted
i am capable of change and transformation.,non-distorted
"i guess it helps when i shower, get dressed. walking seems to help, although i don't feel like it when i'm down.",non-distorted
"they have shown empathy and understanding towards others, and it inspires me to do the same.",non-distorted
"i have several options and reasons to think i was not the issue why he was so angry on the phone therefore i should move one and find a better time to call him next time or to approach him a different way (mail, linkedin message, letter) .",non-distorted
"maybe you can ask your boss for advice and explain why he didn't like your job, then you can use that to improve your work.",non-distorted
learning more about others instead focusing on ourselves will help me to see things from different perspectives.,non-distorted
"i don't think my approach was wrong, just the other person was not ready for this kind of call in that moment. .",non-distorted
"i'd say she just wants to be able to help you, but she can't think of a way to help.",non-distorted
he genuinely seemed excited about the book and i need to believe more in myself.,non-distorted
i should ask for some tips to help me feel more confident.,non-distorted
"my value as a person is not tied to my ability to be perfect, it's about my inherent worth.",non-distorted
"i am focusing on my strengths and accomplishments, not my shortcomings.",non-distorted
"they have a good sense of intuition, and it helps them navigate tough situations.",non-distorted
i'm grateful for the beauty of art and try to incorporate it into my life.,non-distorted
i appreciate the power of human connection and strive to build meaningful relationships.,non-distorted
"other career opportunities might appear, more intriguing and enjoyable ones. even if it pays less, it is important to feel content with what you do. money isn't everything.",non-distorted
i shouldnt be mad at him the whole evening as it will not resolve anything and just ruin the atmosphere and i dont want it to impact as well the kids / guests.,non-distorted
"if she was being rude with you over something so simple, maybe its because she misinterpreted your email, or maybe she is just having a bad day.",non-distorted
they maybe in a rush to get to their destination that they couldn't wave or initiate contact that would dely them from getting to that location.,non-distorted
"all of the thoughts in your head are your own thoughts, they are not the thoughts of the people you believe to be judging you.",non-distorted
i think i feel this way because i'm afraid that things go wrong. i need to be more confident in order to fully embrace live.,non-distorted
no on is perfect and it is ok to make mistakes because it is how we learn to be better.,non-distorted
"at work, i learned the computer filing system, which is complicated.",non-distorted
"every therapy experience is unique, and i am open to trying different approaches to find what works best for me.",non-distorted
i am surrounded by positivity and abundance.,non-distorted
"my wife knows that i'm sad because i wanted to go to the party but in the end i couldn't make it, so she decides to call me to see how i'm doing, worrying about me and letting me know that she's okay.",non-distorted
"parties are one of the few places where people feel comfortable meeting others and so even if you don't know anyone, chances are you'll end up meeting someone new. .",non-distorted
"that's a bit harsh,perhaps hes struggling with something and my call disturbed him.he should consider my feelings too, i'm only trying to earn money.",distorted
everyone has a group of people who they hang out with. there is nothing wrong about that. he is just your wife's acquaintance.,non-distorted
i should be more understanding and if he really wouldnt want to see me he would have offered me so many options to meet.,distorted
"use other methods, do other activities, go out with friends, watch tv, go the zoo.",non-distorted
just because one thing goes wrong does not mean that it is always happening.,non-distorted
if i study harder the next time i will have a better chance of passing.,non-distorted
i can get help from my therapist until i know how to do it on my own.,non-distorted
nicole fell asleep in my lap.,non-distorted
my heart is racing and i am sweating because i'm anxious and nervous about being on an airplane.,non-distorted
i am obviously disappointed as i was excited to finally meet this person but i also have to put myself in his shoes: he seems very worried about his sickness and sounded very tired.,non-distorted
"therefore, don't concentrate so much on the negative reactions you face, look to talk about your issue with those who are willing to understand it.",non-distorted
"more importantly, i might not be able to find a man because i lack self-love and confidence and may need to work on that first.",distorted
"there is no reason for doing such thing, she might be bosses good friend, but there is no bad blood between us.",distorted
"i mean, they don´t know me! how could they make an accurate assumption of me if they don´t know me at all?",distorted
i work very hard to get everything perfect for him but maybe he hasn't seen that point of view yet.,distorted
he wanted to show on his best day and therefore prefers to cancel and enjoy the next time we meet.,non-distorted
many people will not think like you so why feel different?,distorted
"recovery is possible, and i am taking steps towards it.",non-distorted
"they have a kind heart, and it shows in their actions towards others.",non-distorted
"they have a positive attitude, and it's infectious.",non-distorted
"dont give so much attention to what they think. they all know how close you were, and if you always treated her well while she was alive, it means you've made her life so much worthwhile and happier.",non-distorted
"maybe i should have asked if that is a right time to call him, if he would have some time to talk but i immediately presented myself and start my speech instead of giving him the time to concentrate on the call.",distorted
"what were the supervisors actual words, did she praise parts of it or give ideas to help improve the thesis? have others had similar feedback and how are they reacting, can you bounce ideas off of each other?",non-distorted
"whether or not i go to family vacations, i will not change my family's negative opinion of me. i will try to go, and if i can not send a gift to my parents, i do not have to feel bad about this situation.",distorted
"once the people you socialise with understand what you are going through, they will be happy to have you in their company and the feelings of humiliation will subside in time.",non-distorted
"you offer your family your personality, friendship, love, and caring. where is the burden in that?",non-distorted
depression is disease like other disease i can take sick leave and seek some counseling.,non-distorted
again i just talk to her if it won't help i should avoid this personde.,distorted
"i have had this happen to me before in airports, on airplanes, and when thinking about flying.",non-distorted
we can learn from our mistakes and use them as opportunities for growth and self-improvement.,non-distorted
i will find a new job because i have lots of life experience to bring to the table. i am willing to work hard and that makes me a valuable employee.,non-distorted
"i know this is hard to hear but, if you actually believe she never loved you like you did, then chances are she wasnt the one for you.",non-distorted
i have to remember what i see with  my own eyes it's not always the truth and they may be suffering in silence.,non-distorted
"my speech may not be the best, but it's still decent and i will do better than most of the speakers in my age.",non-distorted
"he is probably busy with work. unless you had an argument, is there a reason for him to be angry?",non-distorted
she could be a great wife most of the times and may be she made one or two mistakes.,non-distorted
"in the past, my heartbeat has returned to normal when i read a magazine, practiced slow breathing, did thought records, or thought in less catastrophic ways.",non-distorted
therapy can be effective in improving mental health and well-being.,non-distorted
"learning new things can be challenging, but i can break it down into smaller, manageable steps.",non-distorted
"everyone has strengths and weaknesses, and i am focusing on my strengths to achieve my goals.",non-distorted
"while it's difficult to trust others after being hurt, there are still people out there worth trusting and building relationships with.",non-distorted
"i have tried hard and although i have not achieved everything o have wanted. i have lived my life knowing i did my best, and unique and special in my own way.",non-distorted
"my boss should be able to appreciate my work performance and if he cares about gossip, he will approach me about it and i'll be able to explain myself. .",non-distorted
other people wouldn't be likely to notice. anyone who does notice has probably been in a similar situation before. you may not even blush or stutter.,non-distorted
"there are many reasons why college is not a good choice at earlier times, so you should not feel bad about making that choice in the past.",non-distorted
i am trying to find an excuse not to go to this party as i am just dreaming of staying home under my blanket watching netflix.,distorted
his remark is true but i also spent hours cooking after a long day of work and forgot to put the alarm to stop the oven.,non-distorted
"i would work to prove the statement wrong in a modest way. i would not talk about it, show the solution is different.",non-distorted
"socialising can only help people with this condition, and talking about it with others can only be positive.",distorted
i think the kid's happiness is a bit more important. valentine's day is like any other day if you want to.,non-distorted
