sentence,response,label
"logically this makes sense and i am a man of science but i can't move on, i keep having these weird feelings of regret, guilt towards myself and then detachement towards my girlfriend given her past…my head is full with all these images that make no sense whatsoever.",distorted,distorted
"she's always struggled with depression, and has dropped out of middle school, then high school, then university.",non-distorted,distorted
i constantly feel the need to have a mental illness because i get bored by normal things.,distorted,distorted
for example around 5th grade my thoughts would just be putting someone in a punching bag and punching them till all your anger is out.,distorted,distorted
"it also made it so when i got even a little bit stressed out, i'd get a lot of muscle tension, which would only worsen the brain fog/cognitive decline/short term memory loss.",non-distorted,distorted
it's like i can't breathe sometimes when i'm not with him and it is a dreadfully terrifying feeling.,distorted,distorted
"lately my mother is driving me crazy telling me how stupid i am, that i should get a divorce, that he is ""enjoying me"", that the man of the house should be the provider- not me; etc.",distorted,distorted
i feel like a waste of time and only think that the future will worsen and i will never find love or a decent friend.,distorted,distorted
that i would be that 1% i tried a self help program and it didn't do much help because i was scared it was a scam because i couldn't find any credible information about the program and because the guy who told me about it seems like a pathological liar.,distorted,distorted
"i don't know if they are the same ocd type thoughts that i had as a kid but these thoughts tell me that i am a narcissistic person, that i am misdiagnosed, i can""t really explain those thoughts but they are confusing me.",distorted,distorted
"so, ever since i started high school i have felt more awkward and stressed out about people than ever.",distorted,distorted
i am struggling with addiction in a major way.,non-distorted,distorted
"i don't even find these fantasies arousing, i find them more annoying, but in the end all this train of thought leads me to is panic of being a pedophile and tiny stomach pains.",distorted,distorted
i would go outside and sit crouched facing the corner with a hood over my head just to smoke because i was so terrified.,distorted,distorted
why though? is it because i get ptsd over the littlest of things? i didn't have trauma in my childhood and nor did i have it at all.,distorted,distorted
some days in school i have to go into the bathroom and cry.,non-distorted,distorted
i feel i am completely incapable of making any correct decisions and i only make things worse.,distorted,distorted
i'm very stressed because i have a ton more homework now that i just started high school and i have mental breakdowns a lot more now.,distorted,distorted
"i know it was horrible and traumatizing but i feel like i've come to terms with it, but i'm still terrified of my parents.",distorted,distorted
"i kept it inside and only told one person, she was my closest friend that i could talk to, when i told her, i broke down crying and it was very upsetting.",non-distorted,distorted
though i get extremely irritated at unfair and unjust behaviours of others i do not lose control in a bad way.,non-distorted,distorted
i am constantly down on myself never thinking i am good enough.,distorted,distorted
"my family is poor, and i don't want them to know until they have to, so trying to get a phsyciotrist has been out of the question.",distorted,non-distorted
i don't understand why everyone seems to think i'm so violent when the last physical fight i got in was at least 5 years ago.,non-distorted,distorted
what on earth should i do? is there any way i can wean myself off of these irrational precautions without making myself overly uncomfortable? thank you in advance.,non-distorted,distorted
"but when i tried to convince myself i had no depression i started feeling like i wasn't myself each time sliding from happiness to pain of depression and something traumatic happened to me that made me think all the time that i'm just dreaming, i stayed this way for months.",distorted,distorted
"i went to a regular doctor because i am not too old for a pediatrician and i am not sick, i do not have mono but i did end up crying for no reason during the appointment so i walked out of my physical with a clean bill of health but with an anxiety/panic coping packet.",distorted,distorted
"i'm worthless, and i don't think i'll ever feel differently.",distorted,distorted
"i see violent things, but would never act on them, i'm not violent at all.",non-distorted,non-distorted
"hi, i am 15 and i'm currently in a bad situation with my mom.",non-distorted,distorted
only problem is she lived in same house as her mom and dad.,non-distorted,distorted
i have been accused of infidelity multiple times even when i had never done anything like that.,non-distorted,distorted
"he is extremely aggressive when he doesn't get his way, he verbally abuses those that are close to him because ""we don't ever help him with anything"".",distorted,distorted
i have been planning my first kill and it feels like i will not be able to hold back any longer.,,distorted
"the 2 only things that stopped me were my religion, i am a muslim, and in islam; taking your own life will send you to hell fire.",non-distorted,distorted
"it's stressful, i never do anything with them no matter how much they want me to.",distorted,distorted
why i don't feel any emotional difference no matter how bad i am in situation.,distorted,distorted
"art used to always make me happy, but i am so upset i can't afford to do it any more i feel sick thinking about it.",distorted,distorted
"i know you will probably think i'm some kind of sick weirdo after what i'm about to say, but i have to get it off my chest.",distorted,distorted
"and now she's different, she has violent tendencies and she says she thinks people are talking about her or staring at her when no one is, she thought my mom and aunt were talking about her but we haven't seen her in over a month so she couldn't have known at all.",distorted,distorted
"i am not seeing a therapist right now, mostly because i don't have any events to talk about, no traumatic memories, they all treat me like a waste of space.",distorted,distorted
i never told my husband about me being abused and only told my mother at the age of about 25.,non-distorted,distorted
"so my question would be: whether i'm ill at all or not, and if i indeed have mental problems, what they might be and whether i should bother a therapist with my problems or not.",distorted,distorted
my rapists wanted to degrade and humiliate me and i lost my virginity while being told i was ugly and worthless.,non-distorted,distorted
"my worst decision of my life brought me here, also for an unhappy relation.",distorted,distorted
i have been crying all the time over little bitty things and i can't seem to cope and jump back to situations at work.,distorted,distorted
"every therapist i have seen in my life has made a point of telling me i am homely and unattractive, whether i brought up the subject of my looks or not.",distorted,distorted
in the years we hadn't been together he had dated a woman nearly 10 years older than him and she fell pregnant by accident – he was only 23.,non-distorted,distorted
what can i do to help him go through and experience the grieving process but not get lost and not sink so deep that he completely detaches from me and our marriage? i am struggling enough to cope with me and my own feelings but i'm afraid he is the quiet horse that will not be able to pull himself out.,distorted,distorted
i am an angry man.,distorted,distorted
and go into panic attacks where i have to lay and rock back and forth and take deeps breaths to even have the ability to breath.,distorted,distorted
my now husband has a lot of financial problems – he is a business man and has lots of debt.,non-distorted,non-distorted
"the truth is i dislike myself too much for being who i am, i think i'm weird and feel so embarrased of myself, nor i like how i physically am.",distorted,distorted
i often appear awkward or stupid to others because i don't know how to respond to them on the spot.,distorted,distorted
my mother is in debt because of me and my mistake.,distorted,distorted
i stay locked in my room because i know if i come out and have a conversation it would turn to the topic of my weight and end in a fight.,distorted,distorted
"however, she just went on complaining about my father and then told me that i should talk to my father and tell him her complaints about him.",non-distorted,distorted
sometimes in the past i have always thought of killing them my self.,distorted,distorted
we broke up because he had to leave florida for a job in chicago after college and i was told that's the only reason.,non-distorted,distorted
"i get major anxiety when i do eat, because i feel guilty and it's like there's a voice in my head telling me i will get fat if i continue eating and once i eat a few bites of something i know i shouldn't have i will end up eating anything in sight and i want to puke, but i never have.",distorted,distorted
"as of right now, i am questioning if i should seek a professional to see if i may have illness.",non-distorted,non-distorted
"i'm an eighteen year old girl whose very confused about herself and had to grow up way too fast and just keeps her problems to herself because no one will understand, i know you would like to get to the root, so i will just get to the point.",distorted,distorted
i only wash my face and brush my teeth once a day and that's terrible.,distorted,distorted
"it's just these thoughts are scaring me and make me think that i might be getting schizophrenia , or the onset of it…this is all i can think about, i try to go out and there are days where i have better days and seem happy and normal but then the worse days come too.",distorted,distorted
"she doesn't know what i go through everyday, that i think about suicide most of the time, the reason why i hide away in my room, nothing and i'm scared she will take it too far and i will end up doing something ill regret.",distorted,distorted
so i feel so lonely so i think that's where it all started.,non-distorted,distorted
"i sometimes cry myself to sleep because i feel so unwanted! my parents are divorce, i live with my dad & my dad hates my mom.",distorted,distorted
for a while now l have been feeling depressed and suffer from anxiety and l know its reasons but no one seems to.,non-distorted,distorted
"for your information, i have thought of killing the guy so that nobody can have him.",distorted,distorted
i also find that i have difficulty concentrating because i'm constantly thinking about these things.,non-distorted,distorted
"several months ago, after several suicide attempts, self harm, homicidal thoughts, bouts of rapid anger that led me to scream at people over nothing and once or twice to randomly start strangling and animal, stop and not even know why i did what i just did, panic attacks,mood swings and several other things, my parents decided to takd me to the doctor.",non-distorted,distorted
"i am a straight teenage female with a completely normal childhood, although i have had depression for the past couple of years.",non-distorted,non-distorted
my father never played a big role in my life as a child he didn't live with us but i knew that my parents had problems and they fought all the time.,non-distorted,distorted
but no one in my life understands the depth and seriousness of my depression.,distorted,distorted
last night she drank a bottle of red wine and when i queried her about it she became angry and went to her room and came out with her bags saying i will not stay where i am not wanted.,distorted,distorted
does he not love me? ive always thought intercourse was the only real kind of love.,distorted,distorted
"the only emotions i can seem to feel are irritation bordering on anger, slight depression, and uneasiness, outside of these emotions, i can't feel anything.",distorted,distorted
"ever since day one on the job, i have been under a lot of stress and anxiety at the hospital that i work at due to my social anxiety problems.",distorted,distorted
"she acts this way because since they fought, my father completely neglected my mom.",distorted,distorted
"i think bad sexual thoughts, but what bothers me the most is that i can't fall asleep because i make a popping sound with my lips over and over.",distorted,distorted
"he knows my situation, about my anxiety and stress, that i'm using drugs.",non-distorted,distorted
my boyfriend of 4 yrs broke up with me and i don't know if i should just move on or try and make it work once again.,non-distorted,distorted
"for example if i am at the grocery store and i see a cute guy i would imagine i was his girlfriend and we had the perfect relationship, but if a another girl went to him i would get so upset and i would have to leave the store because of that.",distorted,distorted
"he never arrived home, but had a car accident on the way home.",non-distorted,distorted
i worry i won't ever be able to be naked or intimate with anyone again.,distorted,distorted
i have thought before after i had finished having one of these 'fits' that if i saw a video of someone else behaving in the same way i would think that they were completely insane.,distorted,distorted
"hey, i'm only 23 years old and i feel like i'm having a mid-life crisis.",distorted,distorted
"she never said "" i love you"" even once when growing up.",distorted,distorted
constantly being reminded just makes me feel dumb and worthless and unlovable.,distorted,distorted
"i've always felt the emptiness, the numbness, fatigue and often the suicidal ideation (more often than i care to elaborate on).",distorted,distorted
what could this be brought on by? i have been diagnosed with depression and have been taking anti-depressants for years but this has always remained with me for as long as i can remember.,non-distorted,distorted
i know there's nothing to be afraid of but still get the fears.,distorted,distorted
i am isolating myself because i am embarrassed of what i'm doing with my jaw and eyes.,distorted,distorted
just why do i have so many problems with maintaining a relationship because as soon as anything serious happens i drop everything without thought.,distorted,distorted
the feeling that she is hiding something from me by often being vague and a growing feeling that i should check here phone is making me utterly sad and i have a feeling that i am slowly blowing myself up and will annoy here so much or myself that my relationship will end.,distorted,distorted
he also accused me more than once of cheating when i never once cheated.,non-distorted,distorted
i have suffered depression in the past and am still struggling with it because of my parents.,distorted,distorted
"i was about 2 months clean, but me and my mom recently got in a huge argument … i cut so bad.",,distorted
i'm diagnosed with schizophrenia but i feel it is wrong.,non-distorted,distorted
i know there has to be something wrong with me.,distorted,distorted
my only memories of him were him leaving to work at 5am and coming back at 10pm to fight with my mom then sleep.,distorted,distorted
he has never picked up a shotgun again since when he had thoughts about murdering his family.,distorted,distorted
"my parents and i must do anything he says, get out of the same room he is in, and not talk to him or he will go insane.",distorted,distorted
i thought i was going to hell no matter what.,distorted,distorted
my panic attacks only happen with people who i am unfamiliar with.,non-distorted,distorted
"he never knew that i had cheated on him and i confessed to him just recently, about 5 months ago.",non-distorted,distorted
i thought for many years that i lack emotion and as i get older i have come to realize that this is true and has been present since childhood; pictures that i have taken i noticed that i never smiled.,distorted,distorted
after i couldn't kill him i just went inside my room and started slapping myself until my hands didn't work well… what am i? am i a psychopath?? or is it just those series playing tricks with my mind because i have cried 5 or 6 times that i recall of (i meant after i was a grown guy maybe 16-20).,,distorted
"i don't what's wrong with me… i was wondering if you could give me a suggestion on what i should do, or what is possibly wrong with me.",non-distorted,distorted
"however, i feel like any second now someone will ""find me out,"" and everyone will realize i am a fraud.",distorted,distorted
he has also stopped having sex with me for a long while and says things like 'i should not ask for it' as i am guilty for the poor state of our relationship.,distorted,distorted
"she fits everything that i thought i ""wanted"" but now i'm so confused.",distorted,distorted
i get so nostalgic for my world to be real that it makes me suicidal sometimes because i know the world will never be that way.,distorted,distorted
one who doesn't have all of these problems.,non-distorted,distorted
i feel like a loser if im home alone on the weekends.,distorted,distorted
people think i'm rude because i don't talk.,distorted,distorted
"it tells me that i'm a loser, i'm lazy, and it asks me what am i doing, why do i bother to continue living.",distorted,distorted
he now admitted that he is seeing people that he knows have died.,non-distorted,distorted
"i'm completely lost, i feel like i'm going to explode inside and the only release i get is from drugs and cutting myself, i abnormally skinny and learned to hate the world.",,distorted
"but i feel like it's not enough anymore, i want to kill i want to take control.",distorted,distorted
"we tried multiple anti depressants and high dosage of kolonopin because i also suffer with extreme anxiety(scared to talk in public,skip school from fear of crowd of peers, profuse sweating when in public) the anti depressants didn't work and neither did the kpin.",non-distorted,distorted
"i am a sophomore in high school, and since middle school i have had suicidal thoughts, and attempted about twice.",non-distorted,distorted
"i don't know what else to do, it is affecting me more than i though, i always worry about him.",distorted,distorted
back then i thought being alone and having no love in my life or being ugly and awkward is the worst thing that can happen but the truth is right now things are even worse.,distorted,distorted
"within a day, he is a raging lunatic.",distorted,distorted
i just want to stop the cycle of thinking about me being a pedophile and it ruining my life because i feel like it's making me more and more anxious.,distorted,distorted
i'm not one to whine about my problems because i know people have it worse then me but i can't push down my feelings anymore.,non-distorted,distorted
after that i hated looking at the mirror at myself because i thought/think that i'm ugly and the only time that i did look in the mirror was to scrutinize my flaws and point out exactly what made me not pretty.,distorted,distorted
"i think i may hold some things against her that i cant let go, like maybe some of the words she has used when shes upset…or looking at her so depressed made me mad because i know she is better than that.",distorted,distorted
"it made me very anti-social, and i realize now why people tended to avoid me, probably because i was giving off some bad vibes.",distorted,distorted
it's only gotten worse and lately it's gotten almost unbearable.,distorted,distorted
i'm always in pain unless i'm venting to my ex.,distorted,distorted
it's frustrating because i feel like such an idiot compared to my peers.,distorted,distorted
"if something takes too long to fix, i will become frustrated and completely give up.",distorted,distorted
i think he doesn't care because he's always picking a fight with me and he's blaming every fight on me saying i started it like a child.,distorted,distorted
"i really dislike talking to people, not for any particular reason either, i would just prefer to not have to talk.",non-distorted,distorted
i don't want to be on this earth somtimes i'm just ready to die an go because i find no purpose here.,,distorted
my mother wants to know everything about my life but she gets mad when i tell her that i don't want to talk to her.,non-distorted,distorted
i'm having bad breakdowns again and i know it's mostly because of my boyfriend.,distorted,distorted
i feel so lonely and unloved that i often cry (i never realized how much a person can cry.,distorted,distorted
"i don't blame him for nothing because he try to make me feel like nothing happened bad, but i feel the ignoring and i feel the pain and the way he act make me more sad because he changed , i know this from his words,, he started to act like im his friend not a girlfriend.",distorted,distorted
i prefer to spend my time alone in my apartment or with my boyfriend only and i don't understand why it's so hard for me to be around other people.,non-distorted,distorted
"i am suffering with obsessive thoughts about how many other women there were during the course of our relationship, while he says none, i am skeptical and question anything he ever told me.",distorted,distorted
it is a very sad case because he was normal growing up.,distorted,distorted
"i feel that i don't belong and it's only a matter of time before others find out, which scares me.",distorted,distorted
i can't hold a conversation with the real her because i keep thinking of all the things the fake version of her has said.,distorted,distorted
i can even think of moments where one of them would leave me in the dark while vaguely communicating with me leading me to get frustrated and anxious over what in gods name they'd be doing only for them to be completely fine by the end of it.,distorted,distorted
i'm missing work either because i'm too busy crying or i just don't want to deal with life.,distorted,distorted
my worst moments are on a daily basis.,distorted,distorted
i bring up problems in the relationship because i think i dont get enough from my boyfriend.,distorted,distorted
its the worst when my partner and i are fighting.,distorted,distorted
and lastly sometimes i think that i am a fake and everything i'm saying is just to get attention.,distorted,distorted
the thoughts make me really anxious because i never know when it's going to happen.,distorted,distorted
"i've never gone to a therapist before because the idea of talking about my mental condition gives me anxiety to the point of panic attacks, but now i'm starting to think that might be the key to fixing my problems.",non-distorted,distorted
"i am so sick of feeling this way and have tried to scream it out, cry it out, and do everything and i can't think of what the problem is or how to solve it.",distorted,distorted
"i do not understand why people have to be so cruel, especially at my age.",distorted,distorted
"i am a teen who loves my family, however i get very annoyed and angry in my mind at unintelligent, annoying, attention craving people.",distorted,distorted
i'm scared because i don't know what's happening.,non-distorted,distorted
i used to be spoiled and loved but now my mom says i am worthless.,distorted,distorted
"but that's not the only violent act i wish upon myself, i fantasize about being tortured, i want to die as a murder victim, i want my murderer to cut open my body, i want to see my insides.",,distorted
"in a breakdown recently i tried to explain my symptoms to my mother, but was so worried about upsetting her that i only managed half-truths.",distorted,distorted
"when i am not doing any of these things and when i am not working, i am completely alone.",distorted,distorted
"sorry to waste your time with a problem that is completely my fault, but i have been free of self-injury for over 1000 days now, but it is still a fight sometimes.",distorted,distorted
i have been suffering from major depression and have been attempting suicide since i was very young (only went to the hospital once for injecting bleach).,distorted,distorted
"is this normal? if not, why is it happening to me? my main guess is this feeling is caused by the stress and trauma of my childhood, but speaking with others, they seem to vividly remember their events in a completely different manner than myself.",distorted,distorted
i started standing up to him and yelling back which only made it worse.,non-distorted,distorted
instead when i look at people i get this horrible feeling that they're thinking the worst of me.,distorted,distorted
i stopped myself from masturbation and have never done it out of fear.,distorted,distorted
is this a symptom of depression as well? i don't want to kill myself never thought of it.,non-distorted,distorted
i have never felt more cherished and more connected to anyone and 90% of the time things are wonderful but i'm plagued with insecurities.,distorted,distorted
so she gets to continue thinking she has nothing to do with his problems because it's only me who he treats this way.,distorted,distorted
"i try to put my opinion in sometimes, but i guess he thinks i am stupid.",distorted,distorted
"i am either always depressed, irritable or completely ""done"" with the world and feel as if no one could do anything to change my view or the world itself.",distorted,distorted
but the thing is that i have never told anyone about my mom before and am worried about her response.,non-distorted,distorted
my questions is that how should family members behave with a patient of paranoid personality disorder and how can we save our children from being a victim of the same disease.,distorted,non-distorted
"i end up lashing out at him for my own insecurities and feelings of us not being ""perfect.",distorted,distorted
right after my grandmother died i also started pulling out my hair (trichotillmania) so it made me very self-conscious to the point where i thought i was the ugliest person ever which only made it harder to talk to people.,distorted,distorted
"almost all of my actions, thoughts, and beliefs conflict with one another.",distorted,distorted
when i trying to get rid of my bad thoughts which is continuously coming to my mind –i can't.,distorted,distorted
she says i am just looking for stuff…but i feel like i have a reason to suspect her of cheating.,distorted,distorted
"i am leaving for university in around 3 months, i think his family think i am a bad influence on him.",distorted,distorted
i thought of breaking up with him but have been staying on because i'm afraid he will resort to self-harm to cope with the pain or do something more terrible.,distorted,distorted
i stopped going to school in the 8th grade because i became very depressed and i had a lot of issues with the other kids.,non-distorted,distorted
"i'm very confused, and have never thought i'd be put in this position.",non-distorted,distorted
"i know that i did nothing so bad and i would forgive them if things where the opposite, but i can't stop thinking that i messed up, it doesn't matter how much i want to stop, i can't.",distorted,distorted
i hear something telling me i'm a loser and there's no point in trying.,distorted,distorted
"sometimes i do things and don't remember them, i don't know if this is did i didn't have a bad childhood or anything, i asked my mother and she says i don't have another personality that i need to stop.",distorted,distorted
"in the dream, my abuser was raping me, and in the weird way dreams are, i was my abuser's wife, only i knew it was me he was raping.",distorted,distorted
now i'm in college and still having almost all the same problems.,distorted,distorted
i was 13 at the time and i kept my sadness inside because i didn't want to worry my parents even more.,non-distorted,distorted
"when someone tries to talk to me, i get so nervous about what they think of me that i end up seeming uninterested or maybe even snobby, probably.",distorted,distorted
"is this depression? and if so, should i go see someone about it.",non-distorted,distorted
i can't get him out of my head no matter how hard i try to do so for the sake of my relationship.,distorted,distorted
"it all started when i watched a video about marina joyce and her supposed mental illness, and being the idiot that i am looked up the symptoms and noticed something i sometimes do (thought blocking), but i stopped myself from doing that.",distorted,distorted
i find myself now beginning to feel stress because i am 26 with a 2 year old daughter and mounting debt but no clue what i want to do.,distorted,distorted
she is currently taking medication for depression and only has negative words to say when i speak with her.,non-distorted,distorted
but i can never bring up the guts to tell her about my suffering.,distorted,distorted
"the worst part is that i'm a detective and have worked in the domestic violence unit before and i should be able to recognize whether or not this is going where i think and feel it might be, but i can't.",distorted,distorted
"i can't go to school anymore, too many goddamn people staring at me and thinking about me, judging me all the time.",distorted,distorted
it's getting worse and its starting to hurt other people because of my confusion.,distorted,distorted
i'd rather work alone because i can't stand working with people because a lot of people drain my energy with being negative.,distorted,distorted
"my mom doesn't ever listen to me when i tell her i'm sick, and i had school that day.",distorted,distorted
i'm always thinking of the kill.,distorted,distorted
"anytime anyone says a bad thing about me, i feel insanely guilty and burst into tears either right there or later by myself.",distorted,distorted
"i finally decided to close a portion of myself because i felt i could not beat it and if i didn't close off my emotions, i would have killed myself.",distorted,distorted
i have had thoughts of suicide but i never actually tried to kill myself.,non-distorted,distorted
i have read a lot on depression lately… the problem i am having is that she doesn't act this way with everyone.,distorted,distorted
i'm furious that i have to go to school and have actually considered starting a fire there.,distorted,distorted
no matter how hard i try i can't seem to focus.,distorted,distorted
"do i go to my doctor and explain to him that i feel i have anxiety or am i just stupid for loving someone so much and wanted to spend so much time with them and that i give her 110% of everything heart mind and soul, i cry for her.",distorted,distorted
"when i was…young, i was raped on a regular basis by my only guardian (he was not related) and occasionally sold for his self gain……….",non-distorted,distorted
"back in october, i got my very first job, but it was for a haunted house so it only lasted a month.",non-distorted,distorted
"i'm 17 and ever since i was young i have always had anxious feelings about those around me, and that i'm going to be murdered.",distorted,distorted
what should we do? neither of us like sneaking all round or lying to our kids.,non-distorted,distorted
"i am devastated, because i love him and because i feel guilty that i'm the one who caused the whole problem.",distorted,distorted
my brother and i have not been raised luxuriously nor have we ever seen dearth of basic necessities.,non-distorted,non-distorted
i have tried and tried to figure out why i am holding such anger against them because they don't even have to do anything wrong and i am angry at them.,distorted,distorted
"that he was being a jerk, and i did not have to tolerate that.",non-distorted,distorted
